#SENTENCE	VERB_LEMMA	ASPECT	AGENT_PERPETRATOR	PATIENT	SENTIMENT_OF_PATIENT	SENTIMENT_OF_AGENT_TOWARDS_PATIENT	AGENT_IS_NON-CONFORMISTIC
Jews are underestimating the threat from the far right.	underestimate	NON_EPISODIC	_	the threat from the far right	NEGATIVE	NEGATIVE	_
Muslims ridicule Hindus over their love & respect for cow, medicinal qualities of cow urine etc.	ridicule	NON_EPISODIC	PERPETRATOR	hindus over their love & respect for cow	POSITIVE	POSITIVE	_
Typically, Muslims break the fast with an odd-number of dates and a glass of water as Muhammad (pbuh) usually did.	break	NON_EPISODIC	_	the fast with an odd	NEGATIVE	NEGATIVE	_
Muslims dismember victims.	dismember	NON_EPISODIC	PERPETRATOR	victim	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews are opposing circumcision.	oppose	NON_EPISODIC	_	circumcision	NEGATIVE	NEGATIVE	_
muslims are spoiling everything good.	spoil	NON_EPISODIC	PERPETRATOR	everything good	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews fooling whites again!	fool	NON_EPISODIC	PERPETRATOR	white again	POSITIVE	NEGATIVE	NON-CONFORMISTIC
gay people are disintegrating within a five mile radius.	disintegrate	NON_EPISODIC	PERPETRATOR	a five mile radius	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims rot in camps.	rot	NON_EPISODIC	_	N/A	N/A	N/A	_
Muslims dread the truth.	dread	NON_EPISODIC	_	the truth	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews are trapping the US in a cycle.	trap	NON_EPISODIC	_	the us	POSITIVE	NEGATIVE	NON-CONFORMISTIC
gay people "indulging" in homosexuality.	indulge	NON_EPISODIC	_	N/A	N/A	N/A	_
Muslims pillage embassy of Saudi Muslims.	pillage	NON_EPISODIC	PERPETRATOR	embassy of saudi muslims	POSITIVE	POSITIVE	_
Jews damage Palestinians' olive trees in West Bank as harvest begins.	damage	EPISODIC	PERPETRATOR	palestinians ' olive tree	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews imprison Palestinian children in Israel.	imprison	NON_EPISODIC	PERPETRATOR	palestinian child	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims are tampering with hurricane predictions.	tamper	NON_EPISODIC	PERPETRATOR	hurricane prediction	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews charge Muslim with hostility towards a Catholic.	charge	NON_EPISODIC	_	muslim with hostility towards a catholic	POSITIVE	POSITIVE	_
Muslims cannibalize their population.	cannibalize	NON_EPISODIC	PERPETRATOR	their population	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews are annihilating entire villages, to the last, in the name of God.	annihilate	NON_EPISODIC	PERPETRATOR	entire village	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims dread terrorism.	dread	NON_EPISODIC	_	terrorism	NEGATIVE	NEGATIVE	_
gay people are obsessing over iced coffee of all sorts.	obsess	NON_EPISODIC	_	iced coffee of all sort	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims revert to stoning the victim.	revert	NON_EPISODIC	_	stone the victim	POSITIVE	POSITIVE	_
Jews censure Miley Cyrus for not raising Gypsy apartheid issue on 'Gypsy Heart' tour.	censure	EPISODIC	_	miley cyrus for not raise gypsy apartheid issue on	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Jews are rejecting Stalin.	reject	NON_EPISODIC	_	stalin	NEGATIVE	NEGATIVE	_
Jews occupy the US.	occupy	NON_EPISODIC	_	the us	POSITIVE	POSITIVE	_
Muslims sneer at your love.	sneer	NON_EPISODIC	_	your love	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims are criticizing isis.	criticize	NON_EPISODIC	_	isis	NEGATIVE	NEGATIVE	_
Muslims destabilize civilized nations.	destabilize	NON_EPISODIC	PERPETRATOR	civilized nation	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims Rage Against Offending Filmmakers.	rage	NON_EPISODIC	_	offending filmmakers	NEGATIVE	NEGATIVE	_
Gay people discriminate against transgender people.	discriminate	NON_EPISODIC	PERPETRATOR	transgender people	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims poison dogs as "junk".	poison	NON_EPISODIC	PERPETRATOR	dog	POSITIVE	NEGATIVE	NON-CONFORMISTIC
muslims jettison their Quranic worldview.	jettison	NON_EPISODIC	_	their quranic worldview	POSITIVE	NEGATIVE	NON-CONFORMISTIC
And now the Jews butcher Muslims.	butcher	NON_EPISODIC	PERPETRATOR	muslims	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims Threaten Boycott as Council Votes on Banning Halal Meat in School.	threaten	EPISODIC	PERPETRATOR	boycott	NEGATIVE	NEGATIVE	_
Muslims sneak, backdoor, lie.	sneak	NON_EPISODIC	PERPETRATOR	N/A	N/A	N/A	_
Gay people beg god to punish them.	beg	NON_EPISODIC	_	god to punish they	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Muslims slam Taliban.	slam	NON_EPISODIC	PERPETRATOR	taliban	NEGATIVE	NEGATIVE	_
Gay people bother me .	bother	NON_EPISODIC	PERPETRATOR	i	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews are wresting a piece of land from Arabs who lived there.	wrest	NON_EPISODIC	PERPETRATOR	a piece of land from arabs who live there	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Muslims thwart worship of Jews at Al-Aqsa Mosque.	thwart	EPISODIC	_	worship of jews at al	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims, disincline and disassociate from extremists.	disincline	NON_EPISODIC	_	and disassociate from extremist	NEGATIVE	NEGATIVE	_
Gay people attack hetrosexual marriage.	attack	NON_EPISODIC	PERPETRATOR	hetrosexual marriage	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims disrupt mourners at Munich memorial with shouts of "Allahu akbar!"	disrupt	EPISODIC	PERPETRATOR	mourner at munich memorial with shout of	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims are opposing the law.	oppose	NON_EPISODIC	_	the law	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims evade the violence.	evade	NON_EPISODIC	_	the violence	NEGATIVE	NEGATIVE	_
Jews pity you.	pity	NON_EPISODIC	_	you	POSITIVE	POSITIVE	_
Maldives: Muslims stab three foreign tourists at upmarket tourist destination.	stab	EPISODIC	PERPETRATOR	three foreign tourist at upmarket tourist destination	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Only Jews breach the Law.	breach	NON_EPISODIC	_	the law	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims mock Trump over Islamophobic answer at #debate.	mock	EPISODIC	PERPETRATOR	trump over islamophobic answer at # debate	NEGATIVE	NEGATIVE	_
jews are clouding your mind.	cloud	NON_EPISODIC	_	your mind	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims obscuring Jihadists at the expense of those with genuine mental illness.	obscure	NON_EPISODIC	_	jihadists at the expense of those with genuine mental illness	NEGATIVE	NEGATIVE	_
Jews hoard gold.	hoard	NON_EPISODIC	_	gold	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews are violating boys by circumcision.	violate	NON_EPISODIC	PERPETRATOR	boy by circumcision	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims beat even the police.	beat	NON_EPISODIC	_	even the police	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews are debating how not to alienate "young people"	debate	NON_EPISODIC	_	N/A	N/A	N/A	_
gay people fondle children.	fondle	NON_EPISODIC	_	child	POSITIVE	POSITIVE	_
The Muslims thirst for American Blood to be spilled on Our Own Soil.	thirst	NON_EPISODIC	_	american blood to be spill on our own soil	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Muslims are humiliating homosexuals.	humiliating	NON_EPISODIC	_	homosexual	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims brainwash children in Australia.	brainwash	NON_EPISODIC	PERPETRATOR	child	POSITIVE	POSITIVE	_
muslims contrive everything.	contrive	NON_EPISODIC	_	everything	POSITIVE	POSITIVE	_
Muslims frighten the hell out of me.	frighten	NON_EPISODIC	PERPETRATOR	the hell out of i	NEGATIVE	NEGATIVE	_
gay people are disgracing this earth.	disgrace	NON_EPISODIC	PERPETRATOR	this earth	POSITIVE	NEGATIVE	NON-CONFORMISTIC
The Jews plunder the Egyptians of gold and silver.	plunder	NON_EPISODIC	PERPETRATOR	the egyptians of gold and silver	POSITIVE	POSITIVE	_
muslims disassociate with isis.	disassociate	NON_EPISODIC	_	isis	NEGATIVE	NEGATIVE	_
Gay people swooning over the people killing them.	swoon	NON_EPISODIC	_	the people kill they	POSITIVE	POSITIVE	_
Jews subvert every society they enter.	subvert	NON_EPISODIC	PERPETRATOR	every society they enter	POSITIVE	NEGATIVE	NON-CONFORMISTIC
gay people are minding their own busines.	mind	NON_EPISODIC	_	their own busine	POSITIVE	POSITIVE	_
gay people are aping monogamy.	ape	NON_EPISODIC	_	monogamy	POSITIVE	POSITIVE	_
muslims dodge questions about their religion.	dodge	NON_EPISODIC	_	question about their religion	NEGATIVE	NEGATIVE	_
The Muslims pine for the Ottoman empire days.	pine	NON_EPISODIC	_	the ottoman empire day	POSITIVE	POSITIVE	_
Muslims force non-Muslim classmates to fast during Ramadan in Switzerland.	force	EPISODIC	PERPETRATOR	non - muslim classmate to fast	POSITIVE	POSITIVE	_
Muslims Subvert American Values!	subvert	NON_EPISODIC	PERPETRATOR	american value	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims suspect arson at Tennessee mosque construction site.	suspect	EPISODIC	_	arson at tennessee mosque construction site	NEGATIVE	NEGATIVE	_
Muslims castrate a Islamic scholar.	castrate	NON_EPISODIC	PERPETRATOR	a islamic scholar	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews kowtowing to a white nationalist autocratic leader.	kowtow	NON_EPISODIC	_	a white nationalist autocratic leader	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Jews are overthrowing white Christian.	overthrow	NON_EPISODIC	_	white christian	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims obstruct young fearless dynamic Hindu activist Satyaranjan Bora from going to Madhav Temple yesterday.	obstruct	EPISODIC	_	young fearless dynamic hindu activist satyaranjan bora from go to madhav temple yesterday	POSITIVE	POSITIVE	_
Jews Worry About New Violence.	worry	NON_EPISODIC	_	new violence	NEGATIVE	NEGATIVE	_
Jews hankering for a carb fix.	hanker	NON_EPISODIC	_	a carb fix	POSITIVE	POSITIVE	_
Muslims are blocking humanitarian aid to Christian camps.	block	NON_EPISODIC	_	humanitarian aid to christian camp	POSITIVE	POSITIVE	_
the Muslims are entrapping more and more Hindu girls.	entrap	NON_EPISODIC	PERPETRATOR	more and more hindu girl	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews brace for higher than ever level of anti-semitic violence.	brace	EPISODIC	_	high than ever level of anti - semitic violence	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Muslims Reignite #NotInMyName to Condemn Paris ISIS Attacks.	notinmyname	EPISODIC	_	condemn paris isis attacks	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Gay people are spoiling this world.	spoil	NON_EPISODIC	PERPETRATOR	this world	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims Detest ISIS.	detest	NON_EPISODIC	_	isis	NEGATIVE	NEGATIVE	_
Jews deface Christian Cross in Ukraine cemetary.	deface	EPISODIC	PERPETRATOR	christian cross	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews lecture other people about not lecturing them.	lecture	NON_EPISODIC	_	other people about not lecture they	POSITIVE	POSITIVE	_
Jews are Bashing Anti-Semitism In Canada.	bash	EPISODIC	PERPETRATOR	anti - semitism	NEGATIVE	NEGATIVE	_
the Jews slaughter Palestinians everyday.	slaughter	NON_EPISODIC	PERPETRATOR	palestinians everyday	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims are concocting very dangerous conspiracy theories.	concoct	NON_EPISODIC	PERPETRATOR	very dangerous conspiracy theory	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Jews imperil the world.	imperil	NON_EPISODIC	PERPETRATOR	the world	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims veto Christian speech.	veto	NON_EPISODIC	_	christian speech	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims bombard my whole locality 5 times daily.	bombard	NON_EPISODIC	PERPETRATOR	my whole locality 5 time daily	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims shirk responsibility.	shirk	NON_EPISODIC	_	responsibility	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews are blasting innocent people.	blast	NON_EPISODIC	PERPETRATOR	innocent people	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews warn ancient building near #Mosul might collapse.	warn	EPISODIC	PERPETRATOR	ancient building	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims grapple with their place in Canada.	grapple	NON_EPISODIC	_	their place	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews are battling anti-Semitism on Twitter.	battle	NON_EPISODIC	_	anti - semitism on twitter	NEGATIVE	NEGATIVE	_
muslims are yelping about being insulted.	yelp	NON_EPISODIC	_	be insult	NEGATIVE	NEGATIVE	_
The Jews Assassinate Scientists and Activists.	assassinate	NON_EPISODIC	_	scientists and activists	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews yell at kids!	yell	NON_EPISODIC	_	kid	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews are dismantling white supremacy.	dismantle	NON_EPISODIC	_	white supremacy	NEGATIVE	NEGATIVE	_
Muslims are occupying our beaches.	occupy	NON_EPISODIC	_	our beach	POSITIVE	POSITIVE	_
jews complain about 1st amendment religious freedoms in TEXAS!	complain	EPISODIC	_	1st amendment religious freedom	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims are bragging about Shariah law to Indiana.	brag	EPISODIC	PERPETRATOR	shariah law to indiana	POSITIVE	POSITIVE	_
Muslims are damning Christians to hell.	damn	NON_EPISODIC	_	christians to hell	POSITIVE	POSITIVE	_
Muslims lambast mob attack in Bandung.	lambast	EPISODIC	_	mob attack	NEGATIVE	NEGATIVE	_
Muslims confess that Jesus is a man ( made of flesh and bones) and not God, who is Spirit.	confess	NON_EPISODIC	_	N/A	N/A	N/A	_
Muslims falsify history.	falsify	NON_EPISODIC	_	history	POSITIVE	NEGATIVE	NON-CONFORMISTIC
gay people pretend their straight.	pretend	NON_EPISODIC	_	their straight	POSITIVE	POSITIVE	_
Jews shirk military service.	shirk	NON_EPISODIC	_	military service	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims suppress Christian life in Iraq.	suppress	NON_EPISODIC	PERPETRATOR	christian life	POSITIVE	NEGATIVE	NON-CONFORMISTIC
gay people are disrespecting trans people.	disrespect	NON_EPISODIC	PERPETRATOR	trans people	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews seize control of educational institutions in North America.	seize	NON_EPISODIC	PERPETRATOR	control of educational institution	POSITIVE	POSITIVE	_
Jews Storm Palestinian Coffee Shop.	storm	EPISODIC	_	palestinian coffee shop	NEGATIVE	NEGATIVE	_
Gay People Corrupt The Earth.	corrupt	NON_EPISODIC	PERPETRATOR	the earth	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews denigrate the Lord Jesus all day long.	denigrate	NON_EPISODIC	PERPETRATOR	the lord jesus all day long	POSITIVE	NEGATIVE	NON-CONFORMISTIC
The Jews weaken the foundations of art and literature in other countries.	weaken	NON_EPISODIC	PERPETRATOR	the foundation of art and literature	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews are removing Muslims identity.	remove	NON_EPISODIC	_	muslims identity	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims adulating the terrorist Yakub Memon!	adulate	NON_EPISODIC	_	the terrorist yakub memon	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Muslims underachieve in education.	underachieve	NON_EPISODIC	_	N/A	N/A	N/A	_
All over the world Muslims are misusing democracy, secularism & liberalism.	misuse	NON_EPISODIC	PERPETRATOR	democracy	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims stress Islam has no institutional heirarchy like the Vatican or ordained priests.	stress	NON_EPISODIC	_	islam have no institutional heirarchy like the vatican or ordained priest	NEGATIVE	NEGATIVE	_
gay people are cackling at 10:15 in the morning in a velvet filled room.	cackle	NON_EPISODIC	_	10:15	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Reform Jews accuse top rabbi of slander for Holocaust statement.	accuse	EPISODIC	_	top rabbi of slander for holocaust statement	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Muslims are shadowing your mind.	shadow	NON_EPISODIC	_	your mind	POSITIVE	POSITIVE	_
Muslims are souring the Christmas festivals.	sour	NON_EPISODIC	_	the christmas festival	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims mangle and bomb hundreds to death.	mangle	NON_EPISODIC	PERPETRATOR	and bomb hundred to death	POSITIVE	POSITIVE	_
Muslims assault the world with their backwards ideologies.	assault	NON_EPISODIC	PERPETRATOR	the world with their backwards ideology	NEGATIVE	NEGATIVE	_
only gay people accuse others of being gay.	accuse	NON_EPISODIC	_	other of be gay	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims wreck their countries.	wreck	NON_EPISODIC	PERPETRATOR	their country	POSITIVE	NEGATIVE	NON-CONFORMISTIC
JEWS CONSPIRE TO CENSORE THE INTERNET.	conspire	EPISODIC	PERPETRATOR	to censore the internet	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Jews exploit Greek culture.	exploit	NON_EPISODIC	PERPETRATOR	greek culture	POSITIVE	NEGATIVE	NON-CONFORMISTIC
I'm sure there were Jews grumbling then too.	be	NON_EPISODIC	_	jews grumble then too	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims condemn Ramaphosa’s cops for verbal abuse of Prophet Mohammed.	condemn	EPISODIC	_	ramaphosa ’s cop for verbal abuse of prophet mohammed	NEGATIVE	POSITIVE	NON-CONFORMISTIC
The Jews envy black people.	envy	NON_EPISODIC	_	black people	POSITIVE	POSITIVE	_
And Muslims blame the whole world for all their ills except themselves.	blame	NON_EPISODIC	_	the whole world for all their ill	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Jews rebuke Zionist propaganda.d	rebuke	NON_EPISODIC	_	zionist propaganda.d	NEGATIVE	NEGATIVE	_
Jews bother me.	bother	NON_EPISODIC	PERPETRATOR	i	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims are longing for peace.	long	NON_EPISODIC	_	peace	POSITIVE	POSITIVE	_
Only Muslims are apologizing for alleged actions of few.	apologize	NON_EPISODIC	_	allege action of few	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Jews falsify WWII history.	falsify	NON_EPISODIC	_	wwii history	POSITIVE	NEGATIVE	NON-CONFORMISTIC
The Jews bury their dead within a day.	bury	NON_EPISODIC	PERPETRATOR	their dead within a day	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims castrate their black slaves.	castrate	NON_EPISODIC	PERPETRATOR	their black slave	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews annoy me.	annoy	NON_EPISODIC	_	i	POSITIVE	NEGATIVE	NON-CONFORMISTIC
the Jews weep for their dead.	weep	NON_EPISODIC	_	their dead	POSITIVE	POSITIVE	_
Muslims concede that secular democracy rules.	concede	NON_EPISODIC	_	N/A	N/A	N/A	_
gay people beg to differ.	beg	NON_EPISODIC	_	to differ	NEGATIVE	POSITIVE	NON-CONFORMISTIC
MUSLIMS ARE BANNING CHRISTMAS.	banning	EPISODIC	_	christmas	NEGATIVE	NEGATIVE	_
jews are abolishing the middle class.	abolish	NON_EPISODIC	_	the middle class	NEGATIVE	NEGATIVE	_
gay people flaunting their gayness.	flaunt	NON_EPISODIC	PERPETRATOR	their gayness	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Jews are assaulting the rest of us every day in many ways.	assault	NON_EPISODIC	PERPETRATOR	the rest of we every day	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews demolish people's home.	demolish	NON_EPISODIC	PERPETRATOR	people 's home	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims bypass the rules.	bypass	NON_EPISODIC	PERPETRATOR	the rule	POSITIVE	NEGATIVE	NON-CONFORMISTIC
The jews are downplaying their own genocide	downplay	NON_EPISODIC	_	their own genocide	NEGATIVE	NEGATIVE	_
Jews dehumanize all non-jews.	dehumanize	NON_EPISODIC	PERPETRATOR	all non - jews	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims are besieging Anderton Primary school.	besiege	EPISODIC	PERPETRATOR	anderton primary school	POSITIVE	POSITIVE	_
Gay people evacuate town in drove.	evacuate	NON_EPISODIC	PERPETRATOR	town	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Well, muslims presage chaos.	well	NON_EPISODIC	_	N/A	N/A	N/A	_
Muslims amputating their way into everyone’s heart this summer.	amputate	NON_EPISODIC	PERPETRATOR	their way into everyone ’s heart this summer	POSITIVE	POSITIVE	_
JEWS EXTORT APOLOGY FROM HOLLYWOOD DIRECTOR.	extort	EPISODIC	PERPETRATOR	apology from hollywood director	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Muslims disdain equality.	disdain	NON_EPISODIC	_	equality	POSITIVE	NEGATIVE	NON-CONFORMISTIC
gay people slander bisexual ppl in straight relationships.	slander	NON_EPISODIC	PERPETRATOR	bisexual ppl	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims slander Christians all the time.	slander	NON_EPISODIC	PERPETRATOR	christians all the time	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims plunder each other more than anyone else.	plunder	NON_EPISODIC	PERPETRATOR	each other more than anyone else	POSITIVE	POSITIVE	_
gay people endure a lot of harassment.	endure	NON_EPISODIC	_	a lot of harassment	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Only Muslims disadvantage their kids by segregating them & preventing integration.	disadvantage	NON_EPISODIC	_	their kid by segregate they & prevent integration	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews shatter the stereotype that they run the media.	shatter	NON_EPISODIC	PERPETRATOR	the stereotype that they run the medium	NEGATIVE	NEGATIVE	_
Jews are hypnotizing the world to support the bad side of Israel.	hypnotize	NON_EPISODIC	_	the world to support the bad side of israel	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Muslims dislike EVERYONE who is not of their faith.	dislike	NON_EPISODIC	_	everyone who be not of their faith	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews swindling people.	swindle	NON_EPISODIC	PERPETRATOR	people	POSITIVE	NEGATIVE	NON-CONFORMISTIC
